            260   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x3bc0, line 0x3bc0] 
            260   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x3bc0, line 0x3bc0] 
            260   0    L2Cache             L1_GETX     NP>IM     [0x29c0, line 0x29c0] 
            260   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            261   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            261   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            261   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            261   3        Seq               Begin       >       [0x2de8, line 0x2dc0] ST PC 173 0xad
            262   3    L1Cache      L1_Replacement     IM>IM     [0x46c0, line 0x46c0] 
            262   1    L1Cache                 Inv    M_I>SINK_WB_ACK [0x1bc0, line 0x1bc0] 
            262   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            262   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            263   0  Directory               Fetch      I>IM     [0x58c0, line 0x58c0] 
            267   2    L1Cache                 Inv    M_I>SINK_WB_ACK [0x3bc0, line 0x3bc0] 
            267   0    L2CacheL2_Replacement_clean     IM>IM     [0x58c0, line 0x58c0] 
            268   0  Directory               Fetch      I>IM     [0x29c0, line 0x29c0] 
            270   0    L2Cache             WB_Data  MCT_I>M_I    [0x1bc0, line 0x1bc0] 
            271   3        Seq               Begin       >       [0x3fe8, line 0x3fc0] ST PC 191 0xbf
            272   3    L1Cache      L1_Replacement     IM>IM     [0x46c0, line 0x46c0] 
            275   0    L2Cache             WB_Data  MCT_I>M_I    [0x3bc0, line 0x3bc0] 
            278   0  Directory                Data      M>MI     [0x1bc0, line 0x1bc0] 
            281   1        Seq               Begin       >       [0x45c, line 0x440] ST PC 129 0x81
            282   1    L1Cache      L1_Replacement     IM>IM     [0x2dc0, line 0x2dc0] 
            283   0  Directory                Data      M>MI     [0x3bc0, line 0x3bc0] 
            290   0  Directory          Memory_Ack     MI>I      [0x1bc0, line 0x1bc0] 
            291   2        Seq               Begin       >       [0x1de8, line 0x1dc0] ST PC 157 0x9d
            292   2    L1Cache      L1_Replacement     IM>IM     [0xac0, line 0xac0] 
            295   0  Directory          Memory_Ack     MI>I      [0x3bc0, line 0x3bc0] 
            297   0    L2Cache             Mem_Ack    M_I>NP     [0x1bc0, line 0x1bc0] 
            302   0    L2Cache             Mem_Ack    M_I>NP     [0x3bc0, line 0x3bc0] 
